centroid,domain,kingdom,phylum,class,order,genus,species
e5d49c0803f04032b482a1ee836e18ab,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,uncultured bacterium,uncultured bacterium
2a4e004a710b7a1f3e676c0f4a5cfbb2,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,uncultured archaeon,uncultured archaeon,uncultured archaeon
d690a57bf58faabbac9effb929f66cb2,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,
d4e823ca7bb71f75213b63a7139014d1,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,uncultured gamma proteobacterium
b9ee120e6aac9896aa1a83979ba17e2a,Bacteria,Marinimicrobia (SAR406 clade),marine metagenome,marine metagenome,marine metagenome,marine metagenome,marine metagenome
d79af8c2a83754168c834d13a9518338,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,
ef74bc7e9b18da6ba5e897da7569c148,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,,
158a042f4263949c29fa108e849495c3,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,
54769adafdb228b8ebd13bc148d86b4a,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,,
7110673024826f0ca3873ac0661b3e1c,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,
c4af71085f0ba23561334d4e9924e3c0,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Nisaeaceae,OM75 clade,
cc6db104a23440ae95ffb75a1d6ab71e,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,uncultured bacterium,uncultured bacterium
2a4c21a318e9cd5b547c9abae6f4352a,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,MWH-UniP1 aquatic group,uncultured bacterium
45fa951fd8424d075c39968b527a49e4,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,,,
296f4afb98b95a490befeee15d2f29aa,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,uncultured,
9a7be9a68b2204fc66a2c8e7794280de,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,
038481ccf75e36a3a46d78055f617da5,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Nisaeaceae,OM75 clade,uncultured bacterium
1d64f5dd939cf8275c2a2743261d125f,Bacteria,Margulisbacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
4033d86fce9dc10cd10a57a69186ed4f,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutibacter,uncultured bacterium
382ce0aec97303a5e3a86b6035743ce3,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,
905d4970035df87e1f0c946a97c30fff,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,Ambiguous_taxa,Ambiguous_taxa
d49f5b077cad5abd07ebda81b1e2cce3,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,
431beb3b5da9db3ff6794d5d69eb07e2,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,,
e260c42588ce2cdf83530f6850811176,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
3a23b87c5c0e4747caf3a0efff6cbd5f,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4 marine group,
1db8e48dfb24e13aa9701f46001c8a5a,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,,,
afbb0a6994c95e900ec3b4e3e6f9ce15,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum,
01409b752a77009c75ba97505fea0dad,Bacteria,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,AT-s3-44,uncultured bacterium
5d84f459d814868950d00ff08becd7c4,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
4872bf6b016cfb3abd9dbf0a4eca2bbf,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,
97667703e35282e40857a611dded95df,Bacteria,Marinimicrobia (SAR406 clade),marine metagenome,marine metagenome,marine metagenome,marine metagenome,marine metagenome
51b298b87527cf31c15442c84d163224,Bacteria,Marinimicrobia (SAR406 clade),,,,,
d94f67269070514225138d277c3a8804,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,uncultured,uncultured bacterium
64de69287530364aeb6b9728fad5a4f6,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,Ambiguous_taxa
c5db59d31bbdfadf50483527a91aa1a0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,uncultured,uncultured bacterium
5fb2269613b7d2100799147f33a8069b,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,
53b060903e5f8bbf9f613e01e2ecec57,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa
e63173e5b9052f8ac78216f61a42a705,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,,
ad8b3a1c1404f80f0d409f7252140d3e,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5) clade,Ambiguous_taxa
8bafb6bb2049e89974bd0476a1245615,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,
81c2e6765c6bf3024c9aa1d9c5363cde,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,
f55f7c3379481a33a44dcf4322c42dd6,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,
e3a47fff7bca7b8659d27b0292ced696,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,uncultured bacterium,uncultured bacterium,uncultured bacterium
663174e351cbd2fc5e4288cbd08a0774,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,
